person-id	start_time	completion_time	background	ethical_agreement	sd_bake_experience	sd_bake_last_time	yeast_bake_experience	yeast_bake_last_time	sd_stor_loc	sd_stor_temp	no_pets	guinea pig	cat	dog	turtle	fish	pets	plants	plants_in_sd_room	siblings	age_siblings	other_fermentations	hands_disinfect	hands_wahsh_water	hands_wash_soap	hands_cream	handedness	biological_sex	age	hands_injuries	hands_injuries_treatments	diversity_assumption	latitude	longitude	house_type	garden	dist_agricultural_field	dist_farm	day7_pH	day7_TTA	day7_LAB	day7_yeast	day14_pH	day14_TTA	day14_LAB	day14_yeast	day21_pH	day21_TTA	day21_LAB	day21_yeast	day7_pH_home	day7_leavening	day7_aromas	day7_motivation	day7_observations	day14_pH_home	day14_leavening	day14_aromas	day14_motivation	day14_observations	day21_pH_home	day21_leavening	day21_aromas	day21_motivation	day21_observations	ALCOHOLIC_D7	ANIMAL FEED_D7	ANIMAL STABLE_D7	APPLE_D7	BANANA_D7	BEER_D7	BERRIES_D7	BREAD_D7	BUTTER MILK_D7	BUTYRIC ACID_D7	CAPERS_D7	CARAMEL_D7	CHICKPEA_D7	CORN_D7	FARM_D7	GLUE_D7	GRAIN FIELD_D7	HAY_D7	HAZELNUT_D7	LACTIC ACID_D7	LEMON_D7	MATURED HARD CHEESE_D7	MOIST WOOD_D7	MOLDY_D7	PAINT_D7	PEANUT_D7	PICKLED VEGETABLES_D7	PINEAPPLE_D7	PORRIDGE_D7	RED WINE_D7	RICE_D7	ROOT VEGETABLES_D7	SMOKED_D7	SOIL_D7	SOUR CREAM_D7	SWEATY FEET_D7	SYNTHETIC_D7	TOASTED BREAD_D7	UNRIPE FRUITS_D7	URINE_D7	VEGETAL_D7	VINEGAR_D7	WHOLE GRAIN_D7	YEASTY_D7	YOGHURT_D7	ALCOHOLIC_D14	ANIMAL FEED_D14	ANIMAL STABLE_D14	APPLE_D14	BANANA_D14	BEER_D14	BERRIES_D14	BREAD_D14	BUTTER MILK_D14	BUTYRIC ACID_D14	CAPERS_D14	CARAMEL_D14	CHICKPEA_D14	CORN_D14	FARM_D14	GLUE_D14	GRAIN FIELD_D14	HAY_D14	HAZELNUT_D14	LACTIC ACID_D14	LEMON_D14	MATURED HARD CHEESE_D14	MOIST WOOD_D14	MOLDY_D14	PAINT_D14	PEANUT_D14	PICKLED VEGETABLES_D14	PINEAPPLE_D14	PORRIDGE_D14	RED WINE_D14	RICE_D14	ROOT VEGETABLES_D14	SMOKED_D14	SOIL_D14	SOUR CREAM_D14	SWEATY FEET_D14	SYNTHETIC_D14	TOASTED BREAD_D14	UNRIPE FRUITS_D14	URINE_D14	VEGETAL_D14	VINEGAR_D14	WHOLE GRAIN_D14	YEASTY_D14	YOGHURT_D14	ALCOHOLIC_D21	ANIMAL FEED_D21	ANIMAL STABLE_D21	APPLE_D21	BANANA_D21	BEER_D21	BERRIES_D21	BREAD_D21	BUTTER MILK_D21	BUTYRIC ACID_D21	CAPERS_D21	CARAMEL_D21	CHICKPEA_D21	CORN_D21	FARM_D21	GLUE_D21	GRAIN FIELD_D21	HAY_D21	HAZELNUT_D21	LACTIC ACID_D21	LEMON_D21	MATURED HARD CHEESE_D21	MOIST WOOD_D21	MOLDY_D21	PAINT_D21	PEANUT_D21	PICKLED VEGETABLES_D21	PINEAPPLE_D21	PORRIDGE_D21	RED WINE_D21	RICE_D21	ROOT VEGETABLES_D21	SMOKED_D21	SOIL_D21	SOUR CREAM_D21	SWEATY FEET_D21	SYNTHETIC_D21	TOASTED BREAD_D21	UNRIPE FRUITS_D21	URINE_D21	VEGETAL_D21	VINEGAR_D21	WHOLE GRAIN_D21	YEASTY_D21	YOGHURT_D21	PORRIDGE_D28	WHOLE GRAIN_D28	HAY_D28	BREAD_D28	CORN_D28	RICE_D28	GRAIN FIELD_D28	ALCOHOLIC_D28	YEASTY_D28	BEER_D28	RED WINE_D28	ROOT VEGETABLES_D28	CHICKPEA_D28	LEAVES_D28	UNRIPE FRUITS_D28	VEGETAL_D28	GRASS_D28	ANIMAL FEED_D28	ANIMAL STABLE_D28	MANURE_D28	FARM_D28	GLUE_D28	PAINT_D28	SYNTHETIC_D28	PLASTIC_D28	AMMONIA_D28	SWEATY FEET_D28	BUTYRIC ACID_D28	VOMIT_D28	FART_D28	URINE_D28	TROPICAL FRUITS_D28	BERRIES_D28	BANANA_D28	PINEAPPLE_D28	APPLE_D28	BURNED_D28	CARAMEL_D28	TOASTED BREAD_D28	SMOKED_D28	SILAGE/FERMENTED GRASS_D28	CAPERS_D28	LEMON_D28	VINEGAR_D28	PICKLED VEGETABLES_D28	FISHY_D28	MINERALS_D28	SEAWEED_D28	SOIL_D28	MOIST WOOD_D28	MOLDY_D28	LACTIC ACID_D28	YOGHURT_D28	MATURED HARD CHEESE_D28	BUTTER MILK_D28	SOUR CREAM_D28	HAZELNUT_D28	PEANUT_D28	fluid_D28	viscous_D28	semifluid_D28	compact_D28	creamy_D28	sticky_D28	lumpy_D28	elastic_D28	slimy_D28	small_bubbles_D28	medium_bubbles_D28	large_bubbles_D28	few_bubbles_D28	many_bubbles_D28	dayx_leavening_D28	dayx_pH_D28	grain_cereal_score_D28	fermented_score_D28	veggie_score_D28	animal_score_D28	chemical_score_D28	body_odour_score_D28	fruity_score_D28	maillard_score_D28	sour_score_D28	ocean_score_D28	earthy_score_D28	fermented_dairy_score_D28	nutty_score_D28
1701	6.18.24 23:34:47	6.18.24 23:37:55	sterile	I agree.	no		yes	4.18.2024	kitchen counter	23.0	1.0						none;	yes	no	yes	14;	yogurt;	1.0	5.0	5.0	1.0	right	F	18.0	cut(s);burn(s);	none;		47.34104809	8.274512345	apartment	yes	100.0	500.0	3.57	18.6			3.59	18.15	9.113943352	6.275053371	3.64	19.21	9.447158031	6.345992224																0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.1	3.99	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1702	6.18.24 23:37:40	6.18.24 23:42:32	sterile	I agree.	no		yes	05.01.2023	cupboard	25.0	1.0						none;	no		yes	18;19;	none;	3.0	5.0	4.0	2.0	right	M	19.0	burn(s);abrasion(s);	none;		47.34419094	8.27279416	townhouse	yes	10.0	50.0	3.66	12.65			3.55	15.6	10.05220746	6.309586908	3.97	9.17	10.32014629	5.53067249	4.4		lactic acid; yoghurt; vinegar;	5.0							4.0		yogurt;lactic acid;	4.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.3	3.79	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1703	6.18.24 15:24:39	6.18.24 15:28:40	sterile	I agree.	no		yes		kitchen counter	21.0		1.0					guinea pig;	yes	yes	yes	14;	none;	0.0	5.0	3.0	1.0	right	F	19.0	no;	none;	I ride my bike to school and therefore still have bacteria on my hands	47.35035044	8.290789775	detached house	yes	50.0	50.0	3.7	12.92	10.62117628	3.763427994	3.73	13.7	10.35475329	6.34677933	3.81	13.35	10.24136881	6.523070328	4.4	1.3	Yoghurt;Yeast;Glue;	10.0		4.4	1.5	Yoghurt;Yeast;Vinegar;Damp wood;Mold;	10.0		4.4	1.8	porridge; yoghurt; yeast;	10.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.1	3.71	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
1704	6.24.24 21:14:24	6.24.24 21:16:48	sterile	I agree.	no		no		kitchen counter	21.0	1.0						none;	yes	yes	yes	22;	none;	3.0	0.0	5.0	0.0	right	F	19.0	no;	none;	No idea	47.35148327	8.285579675	detached house	yes	50.0	500.0	3.63	13.98	9.235849835	4.859738566					3.83	13.07	9.544068044	5.323643253	4.5	2.0	Synthetic;	5.0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.3	4.1	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0
1705	6.24.24 21:41:15	6.24.24 21:46:29	sterile	I agree.	no		yes	2.19.2024	kitchen counter	16.0			1.0				cat;	yes	yes	yes	16;	none;	0.0	8.0	4.0	1.0	right	F	18.0	no;	none;	I had a cold for a while	47.34518811	8.354666175	townhouse	yes	500.0	500.0	3.68	12.67	10.56702637	4.527897164	3.72	14.93	10.01848659	6.73239376	4.04	10.3	10.34936244	6.564830295	4.5	0.5	Grain field;Sweaty feet;Damp wood;Color;	6.0	It almost doesn't open?? However, it smells a lot better now, previously it smelled more like feet/smelly shoes, now it smells more like grain	4.3	0.3	Lactic Acid;Yeast;Beer;Damp Wood;	5.0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																							
1706			sterile																									M											3.51	15.59	10.26481782	5.77815125																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																							
1707	6.19.24 10:55:54	6.19.24 11:00:52	sterile	I agree.	no		yes	6.15.2024	kitchen counter	23.0	1.0						none;	no		yes	18;20;21;	none;	0.0	3.0	5.0	0.0	right	F	18.0	cut(s);	none;		47.36607814	8.231205645	apartment	no	500.0	100.0	3.71	12.28	11.06370856	4.719557638	3.84	13.76	10.0876614	6.288503542	3.86	14.22	10.08736058	6.544068044	4.2	0.7	Bread;Toasted Bread;Smoked;Yoghurt;	5.0		4.2			4.0		4.2			3.0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.2	3.76	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
1708	6.18.24 13:54:21	6.18.24 13:57:28	sterile	I agree.	no		no		kitchen counter	23.0			1.0				cat;	yes	no	yes	1;	none;	0.0	5.0	2.0	0.0	right	F	18.0	cut(s);	none;		47.31394162	8.42430926	detached house	yes	50.0	100.0	3.76	10.78	10.77670118	3.113943352	3.75	14.9	9.917460093	5.744392626	3.76	13.8	10.38021124	6.93144648	4.2	0.6	Yeast;	7.0		4.5	0.7	yeast; beer;	8.0		4.2	0.7	yeast; vinegar;	7.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.8	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
1709	6.18.24 22:33:36	6.18.24 22:36:01	sterile	I agree.	no		yes	7.24.2020	kitchen counter	24.0			1.0				cat;	yes	yes	yes	1;	none;	0.0	4.0	4.0	1.0	right	F	18.0	cut(s);	none;		47.31274242	8.25594156	detached house	yes	10.0	500.0	4.07	7.28	10.62736586	3.176091259	3.78	13.23	10.1197194	3.698970004	3.75	13.6	10.41476854	5.680979772	4.8		Yoghurt;Vinegar;Sweaty feet;	7.0		4.1	1.0	grain field;hazelnut;yoghurt;	6.0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.3	3.76	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
1710	6.24.24 22:36:48	6.24.24 22:40:57	sterile	I agree.	no		yes	6.22.2024	bedroom	19.0			1.0				cat;	yes	yes	yes	15;	none;	0.0	5.0	4.0	1.0	right	F	18.0	cut(s);burn(s);abrasion(s);	none;	Bicycle, gym, volleyball	47.29092988	8.26378316	farmhouse	yes	10.0	100.0	3.89	8.35	10.41329976	5.151063253					4.21	8.29	10.54775838	4.342422681																0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.4	3.76	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
